#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1614620700,924117000,1869887000,128.138.82.154,55,3133,1869925212,1869988806,1,2,10.218.6.55,193.123.222.133,0.0.0.0,2305,0,55215,8801,17,0,0,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,78,83309,1869925684,1869988691,1,2,10.202.160.216,10.218.6.55,0.0.0.0,2305,2305,554,64394,6,0,24,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,34,25599,1869924679,1869985495,1,2,10.218.6.55,10.202.160.216,0.0.0.0,2305,2305,554,59323,6,0,24,0,0,0,0
