#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1614620700,924117000,1869887000,128.138.82.154,55,3133,1869925212,1869988806,1,2,10.202.160.216,193.123.222.133,0.0.0.0,2305,0,55215,8801,17,0,0,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,78,83309,1869925684,1869988691,1,2,172.20.157.250,172.20.6.44,0.0.0.0,2305,2305,554,64394,6,0,24,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,34,25599,1869924679,1869985495,1,2,172.20.153.63,172.20.6.49,0.0.0.0,2305,2305,554,59323,6,0,24,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,19,1686,1869922676,1869987590,1,2,10.202.207.110,198.251.152.209,0.0.0.0,2305,0,52252,443,6,0,24,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,118,16008,1869925176,1869988374,1,2,10.199.129.185,10.199.200.146,0.0.0.0,2305,2305,58263,5247,17,0,0,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,288,331651,1869926205,1869988252,1,2,10.199.200.162,172.20.209.151,0.0.0.0,2305,2305,5247,56492,17,0,0,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,21,2268,1869925521,1869988345,1,2,10.199.159.175,10.199.200.114,0.0.0.0,2305,2305,57788,5247,17,0,0,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,31,32457,1869969010,1869972722,1,2,10.199.200.66,172.20.202.190,0.0.0.0,2305,2305,5247,60783,17,0,0,0,0,0,0
1614620700,924117000,1869887000,128.138.82.154,34,1875,1869968787,1869972310,1,2,10.218.6.55,65.8.236.65,0.0.0.0,2305,0,61467,443,6,0,24,0,0,0,0
